"Word","Part of speech","Affixation","Meaning","Example","English example","page"
"abóso","noun","","","","abuse.","28"
"abogádo","noun","","","","","28"
"abogádo","adjective","","","","","28"
"ábi’ábi","verb","","","","","28"
"abí’","particle","","","","","28"
"aberíya","verb","","","","","28"
"abáw","interjection","","","","oh, wow, really.","28"
"ábay","noun","","","","","28"
"abalóryo","noun","","","","","28"
"abága","noun","","","","shoulder.","28"
"abakáda","noun","","alphabet.","","-a","28"
"abakáda","particle","/mag-, -un/; /ma-…-un/","1 /mag-, -un/ to abuse, to take advantage of. Nag’abóso ang báta’ sa ng íya manga pribilihiyó. The child abused his privileges. lawyer, attorney-at-law. /ma-…-un/ kind, friendly, civil.","Ma’abí’abíhun si Cármen.","Carmen is kind.","28"
"ádlaw’ádlaw","adverb","","","","daily, everyday.","29"
"ádlaw","noun","","","ákun","","29"
"áku’","verb","","","","","29"
"akú","pronoun","","","","","29"
"akú","verb","","","","","29"
"ákig","noun","","","","","29"
"ábyan","noun","","","","","29"
"ábyan","adjective","","","","","29"
"abút","verb","","","","","29"
"abút","verb","","","","","29"
"abúnu","noun","","","","fertilizer.","29"
"abú","noun","","","","ash.","29"
"ábtik","adjective","","","","","29"
"Abríl","noun","","","","April.","29"
"ábri","verb","","","","2","29"
"day, birthday, anniversary.","pronoun","","","","my, mine (first person si ngular","29"
"pre-possessive","pronoun","/mag-,-un/","). /mag-,-un/ to own, to claim, to promise, to swear, to admit. Gin áku’nya ang sa lá’.","Gin áku’nya ang sa lá’.","I, me (first person si ngular nominal","29"
"pre-possessive","pronoun","/-an/; /…-la-…-un/","). /-an/ to be ang ry, to scold. Gin’akígan sya sa ng ma’éstra. The teacher scolded her. ang er, hatred.","ang er, hatred.","/…-la-…-un/ cranky, irritable, moody.","29"
"ágsik","verb","","","","","30"
"ágsik","noun","","","","","30"
"ágsa","verb","","","","","30"
"agrimensór","noun","","","","surveyor.","30"
"Agósto","noun","","","","August.","30"
"Agósto","adjective","","","","","30"
"agí’","noun","","","","","30"
"agí’","verb","","","","","30"
"ági","noun","","","","","30"
"ágda","verb","","","","","30"
"ágbay","verb","","","","","30"
"ágay","verb","","","","","30"
"ágaw","verb","","","","","30"
"agálun","noun","","","","","30"
"ága","noun","","","","morning.","30"
"master, boss.","adjective","","for mative affix designating conditions or state of being.","Baldádo ang ákun láwas.","My body is all tired out.","30"
"álam","noun","","","","","31"
"aláhas","noun","","","","","31"
"jewelry.","verb","","","","","31"
"alágad","noun","","","","","31"
"álak","noun","","","","","31"
"alabá’ab","adjective","","","","","31"
"áhos","noun","","","","garlic.","31"
"ahénte","noun","","","","agent.","31"
"ahénsya","noun","","","","pawnshop.","31"
