word,part_of_speech,definitions,examples,section,source
con,unknown,conjunction,,None,MotusDictionary
id,unknown,idiom,,None,MotusDictionary
intj,unknown,in terjection,,None,MotusDictionary
pr,unknown,pronoun,,None,MotusDictionary
-a,unknown,va imperative /-un/ affix. Kuhá’a anglíbro sa | lamésa. Getthebook from thetable.,,A,MotusDictionary
abakáda,n,alphabet.,,A,MotusDictionary
abága,n,shoulder .,,A,MotusDictionary
abalóryo,n,"rosary beads, strung beads, necklace.",,A,MotusDictionary
ábay,n,"of weddings, witness.",,A,MotusDictionary
abáw,unknown,"in tj oh, wow, really .",,A,MotusDictionary
aberíya,v,"/mag-/ to have engine trouble, to sto p. | trouble. | abí’ pt letmesee, would youplease, hey, excuse | please. Abí’husáya ánay iní. Would you",Nag’aberíya angkótse . Thecarhadengine,A,MotusDictionary
please,unknown,"solve thisfirst. | ábi’ábi v /mag-,-un/ to greet, to shake hands with.",Gin’ábi ’ábisyasang mangá táwu . Hewas,A,MotusDictionary
greeted,unknown,by thepeople.,,A,MotusDictionary
abogádo,n,"lawyer , atto rney-at-law .",,A,MotusDictionary
abóso,n,abuse.,,A,MotusDictionary
pribilihiyó,unknown,. Thechild abused hisprivileges.,,A,MotusDictionary
ábri,v,"/mag-,-un/ to unlock, to unfasten, to open.",Nag’ábri si Pédro sang bintána . Pedro,A,MotusDictionary
opened,unknown,awindow .,,A,MotusDictionary
Abríl,n,April.,,A,MotusDictionary
ábtik,adj,"/ma-/ active, brisk, lively .",,A,MotusDictionary
abú,n,ash.,,A,MotusDictionary
abúnu,n,fertilizer .,,A,MotusDictionary
abút,v,"/mag-,-un/ to arrive, to reach, to come to.",Nag’abút syakahápun . Hearrived,A,MotusDictionary
yesterday,unknown,.,,A,MotusDictionary
Alabútun,unknown,naangtigúlang . Theoldman is,,A,MotusDictionary
already,unknown,cranky .,,A,MotusDictionary
ábyan,n,"friend, buddy .",,A,MotusDictionary
ákig,n,"anger , hatred.",,A,MotusDictionary
sang,unknown,ma’éstra . Theteacher scolded her.,,A,MotusDictionary
akú,unknown,"pr I, me(first person singular nominal | pronoun). | áku’ v /mag-,-un/ to own, to claim, to promise, to",,A,MotusDictionary
